167 184 a_10/output/res
188 190 a_11/output/res
185 157 a_12/output/res
167 191 a_13/output/res
53 1 a_14/output/res
225 204 a_15/output/res
36 21 a_16/output/res
167 204 a_17/output/res
220 183 a_18/output/res
218 191 a_19/output/res
179 193 a_1/output/res
245 199 a_20/output/res
233 190 a_21/output/res
83 29 a_22/output/res
174 197 a_23/output/res
177 197 a_24/output/res
242 193 a_25/output/res
63 48 a_26/output/res
185 186 a_27/output/res
87 3 a_28/output/res
247 196 a_29/output/res
109 119 a_2/output/res
173 191 a_30/output/res
198 205 a_3/output/res
168 194 a_4/output/res
88 18 a_5/output/res
53 36 a_6/output/res
234 194 a_7/output/res
189 119 a_8/output/res
191 200 a_9/output/res
