29 6 a_10/output/res
92 77 a_11/output/res
92 115 a_12/output/res
93 118 a_13/output/res
90 113 a_14/output/res
103 112 a_15/output/res
107 115 a_16/output/res
112 111 a_17/output/res
113 112 a_18/output/res
126 113 a_19/output/res
33 7 a_1/output/res
102 110 a_20/output/res
122 113 a_21/output/res
93 109 a_22/output/res
109 111 a_23/output/res
39 1 a_24/output/res
36 13 a_25/output/res
46 4 a_26/output/res
21 7 a_27/output/res
99 113 a_28/output/res
107 113 a_29/output/res
86 110 a_2/output/res
114 114 a_30/output/res
112 109 a_3/output/res
90 109 a_4/output/res
83 106 a_5/output/res
85 108 a_6/output/res
118 115 a_7/output/res
38 5 a_8/output/res
92 108 a_9/output/res
