174 78 a_10/output/res
102 80 a_11/output/res
105 75 a_12/output/res
162 76 a_13/output/res
112 79 a_14/output/res
142 11 a_15/output/res
90 71 a_16/output/res
131 11 a_17/output/res
158 79 a_18/output/res
165 74 a_19/output/res
99 81 a_1/output/res
103 78 a_20/output/res
62 18 a_21/output/res
159 50 a_22/output/res
164 83 a_23/output/res
82 17 a_24/output/res
107 83 a_25/output/res
92 7 a_26/output/res
86 7 a_27/output/res
83 78 a_28/output/res
43 87 a_29/output/res
97 78 a_2/output/res
161 75 a_30/output/res
156 82 a_3/output/res
105 68 a_4/output/res
114 90 a_5/output/res
141 10 a_6/output/res
103 74 a_7/output/res
89 75 a_8/output/res
134 10 a_9/output/res
