100 75 a_10/output/res
77 63 a_11/output/res
69 53 a_12/output/res
82 61 a_13/output/res
97 101 a_14/output/res
55 40 a_15/output/res
41 11 a_16/output/res
70 54 a_17/output/res
77 58 a_18/output/res
81 59 a_19/output/res
72 62 a_1/output/res
99 74 a_20/output/res
77 63 a_21/output/res
37 8 a_22/output/res
87 66 a_23/output/res
85 59 a_24/output/res
50 41 a_25/output/res
39 21 a_26/output/res
70 58 a_27/output/res
38 9 a_28/output/res
43 28 a_29/output/res
38 5 a_2/output/res
83 50 a_30/output/res
27 11 a_3/output/res
92 64 a_4/output/res
103 71 a_5/output/res
68 86 a_6/output/res
69 53 a_7/output/res
42 39 a_8/output/res
80 89 a_9/output/res
