77 141 a_10/output/res
153 2 a_11/output/res
198 144 a_12/output/res
202 132 a_13/output/res
136 2 a_14/output/res
64 148 a_15/output/res
155 0 a_16/output/res
216 140 a_17/output/res
203 122 a_18/output/res
204 146 a_19/output/res
166 4 a_1/output/res
208 147 a_20/output/res
35 6 a_21/output/res
204 120 a_22/output/res
199 146 a_23/output/res
159 9 a_24/output/res
34 8 a_25/output/res
195 150 a_26/output/res
211 129 a_27/output/res
54 129 a_28/output/res
147 3 a_29/output/res
151 4 a_2/output/res
149 5 a_30/output/res
212 139 a_3/output/res
203 144 a_4/output/res
159 9 a_5/output/res
70 150 a_6/output/res
171 5 a_7/output/res
203 115 a_8/output/res
141 144 a_9/output/res
