93 15 a_10/output/res

209 108 a_11/output/res

236 115 a_12/output/res

219 109 a_13/output/res

167 94 a_14/output/res

102 30 a_15/output/res

238 111 a_16/output/res

243 114 a_17/output/res

253 92 a_18/output/res

107 15 a_19/output/res

110 37 a_1/output/res

148 49 a_20/output/res

170 93 a_21/output/res

228 109 a_22/output/res

239 107 a_23/output/res

182 118 a_24/output/res

111 16 a_25/output/res

223 108 a_26/output/res

99 9 a_27/output/res

224 94 a_28/output/res

219 115 a_29/output/res

184 90 a_2/output/res

118 36 a_30/output/res

235 109 a_3/output/res

226 96 a_4/output/res

125 81 a_5/output/res

219 88 a_6/output/res

164 91 a_7/output/res

133 18 a_8/output/res

220 110 a_9/output/res

