51 10 a_10/output/res

211 68 a_11/output/res

213 184 a_12/output/res

213 77 a_13/output/res

177 69 a_14/output/res

162 51 a_15/output/res

136 52 a_16/output/res

182 71 a_17/output/res

215 83 a_18/output/res

211 82 a_19/output/res

90 18 a_1/output/res

90 36 a_20/output/res

202 76 a_21/output/res

194 73 a_22/output/res

169 70 a_23/output/res

73 13 a_24/output/res

135 43 a_25/output/res

201 80 a_26/output/res

78 8 a_27/output/res

216 72 a_28/output/res

177 80 a_29/output/res

205 66 a_2/output/res

55 15 a_30/output/res

215 72 a_3/output/res

187 71 a_4/output/res

194 70 a_5/output/res

178 65 a_6/output/res

187 178 a_7/output/res

119 45 a_8/output/res

171 69 a_9/output/res

