50 18 a_10/output/res

114 34 a_11/output/res

112 16 a_12/output/res

56 13 a_13/output/res

79 8 a_14/output/res

70 14 a_15/output/res

111 44 a_16/output/res

107 16 a_17/output/res

96 11 a_18/output/res

91 14 a_19/output/res

94 13 a_1/output/res

113 24 a_20/output/res

93 17 a_21/output/res

52 32 a_22/output/res

119 51 a_23/output/res

93 12 a_24/output/res

111 35 a_25/output/res

87 17 a_26/output/res

119 12 a_27/output/res

82 9 a_28/output/res

79 9 a_29/output/res

50 19 a_2/output/res

118 16 a_30/output/res

86 28 a_3/output/res

46 54 a_4/output/res

52 12 a_5/output/res

84 20 a_6/output/res

89 13 a_7/output/res

113 27 a_8/output/res

131 24 a_9/output/res

