127 123 a_10/output/res

130 76 a_11/output/res

136 116 a_12/output/res

139 129 a_13/output/res

118 113 a_14/output/res

62 10 a_15/output/res

136 110 a_16/output/res

137 117 a_17/output/res

121 137 a_18/output/res

147 113 a_19/output/res

74 12 a_1/output/res

89 73 a_20/output/res

149 115 a_21/output/res

121 124 a_22/output/res

130 114 a_23/output/res

141 113 a_24/output/res

58 10 a_25/output/res

147 109 a_26/output/res

41 15 a_27/output/res

119 117 a_28/output/res

150 124 a_29/output/res

108 110 a_2/output/res

61 14 a_30/output/res

141 116 a_3/output/res

120 113 a_4/output/res

125 104 a_5/output/res

112 112 a_6/output/res

122 135 a_7/output/res

70 4 a_8/output/res

133 114 a_9/output/res

