146 11 a_10/output/res

88 17 a_11/output/res

168 20 a_12/output/res

140 13 a_13/output/res

190 26 a_14/output/res

189 17 a_15/output/res

163 43 a_16/output/res

184 29 a_17/output/res

186 24 a_18/output/res

183 25 a_19/output/res

85 20 a_1/output/res

144 14 a_20/output/res

70 12 a_21/output/res

163 25 a_22/output/res

193 24 a_23/output/res

155 18 a_24/output/res

168 15 a_25/output/res

93 22 a_26/output/res

154 6 a_27/output/res

174 31 a_28/output/res

175 23 a_29/output/res

158 17 a_2/output/res

62 20 a_30/output/res

188 18 a_3/output/res

79 18 a_4/output/res

160 12 a_5/output/res

154 15 a_6/output/res

148 15 a_7/output/res

87 8 a_8/output/res

165 15 a_9/output/res

